gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000111863.13	ADTRP	54.19133154707455	-3.0750891039183905	0.7729682109319183	2.787715309606217e-6	1.1278738087489373e-4
ENSG00000198756.12	COLGALT2	620.3617582949091	-1.3595310107426541	0.3356300886593387	2.866810969480717e-6	1.1545786644210012e-4
ENSG00000135899.20	SP110	109.76895678756615	-1.6180142645829192	0.4029910022484782	3.0107599872088913e-6	1.2015793252118743e-4
ENSG00000088387.22	DOCK9	113.09384682905106	-1.0516895645676918	0.2572351693544753	3.036494889420367e-6	1.2091144435524892e-4
ENSG00000171812.13	COL8A2	62.021364938487	-2.691157098332855	0.6798744767927875	3.200375104201708e-6	1.2715003792368947e-4
ENSG00000105251.11	SHD	102.86008694911217	1.1613370883905882	0.2875714228678688	3.236067515409361e-6	1.2827917072319355e-4
ENSG00000127603.32	MACF1	2895.6233201994733	-1.056283352056503	0.2579242844667638	3.2917062775674485e-6	1.3019214963293677e-4
ENSG00000162614.19	NEXN	44.79258762011954	-2.0847943362598373	0.5257782464328955	3.40257456868504e-6	1.3427609707293981e-4
ENSG00000230223.8	ATXN8OS	50.06188319042567	1.84745798174328	0.47053266195274834	3.7069278316007504e-6	1.4466859944565759e-4
ENSG00000069667.16	RORA	551.7535407748179	1.5348828648822626	0.3869194414548482	3.72180187181934e-6	1.44928443750316e-4
ENSG00000159208.16	CIART	72.16859389195662	1.9333834700342292	0.49317885252372906	3.7469195415793584e-6	1.452651883812305e-4
ENSG00000228701.3	TNKS2-DT	28.563687071769955	1.6774467704115643	0.42492382707837684	3.7582249242492742e-6	1.4538396417490613e-4
ENSG00000179399.16	GPC5	34.94581282469538	1.790716837853724	0.4556888593232898	3.845127864341676e-6	1.4842025279428265e-4
ENSG00000184347.16	SLIT3	236.39453445646632	-1.4483598253975496	0.3653041882945046	3.932728904300532e-6	1.511401696554714e-4
ENSG00000109132.7	PHOX2B	37.111344216135016	3.181510884959443	0.8281257255859263	4.160883912491959e-6	1.5921473365804374e-4
ENSG00000118193.12	KIF14	209.07426908009973	-1.5940585015909432	0.40520725228749443	4.203721498017891e-6	1.6050572992431947e-4
ENSG00000120322.5	PCDHB8	39.006888084131624	-1.9165436121377182	0.4900802336966202	4.270140398687995e-6	1.6268958236038064e-4
ENSG00000259994.1	ENSG00000259994	47.77582578936186	-1.2228403354901975	0.30879915446431955	4.448397913216457e-6	1.6838999825995342e-4
ENSG00000159387.8	IRX6	31.56069102902956	1.9491259505510083	0.5019348666753295	4.507779835636679e-6	1.702724546052056e-4
ENSG00000275160.1	RPL7AP45	35.136622962442125	1.5722036585134933	0.40390039182749726	4.5798443877241005e-6	1.71581828285231e-4
