ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1902074	response to salt	28/672	366/18870	1.3063839686864098e-4	0.0030600274734501865	0.002408190307845573	SUCNR1/DRD1/TRPC3/KCNH1/ROCK2/ITGA2/CNR1/EGR1/COL18A1/SYT9/B2M/SOD2/NPTX1/DRD4/FOS/NEUROD2/OPRK1/P2RX7/OPRM1/ALOX15/EDN1/RGS10/TGM2/PENK/FOSB/COL1A1/DAB2/KRT8	28
GO:0007044	cell-substrate junction assembly	12/672	95/18870	1.381507796674356e-4	0.003220132143718903	0.002534189998543517	ROCK2/ITGA2/PEAK1/MACF1/DST/GREM1/MMP14/FN1/ACTN1/TLN1/THSD1/FMN1	12
GO:0001649	osteoblast differentiation	22/672	257/18870	1.3969752935039643e-4	0.003240301229566512	0.002550062730889136	NOG/HOXA2/FBN2/DDR2/BMP2/FGFR2/BMP4/GREM1/NELL1/CCN1/ID3/SMAD6/TWIST2/PENK/LEF1/TMEM119/LOX/COL1A1/ERFE/FOSL2/ITGA11/WNT3A	22
GO:0044703	multi-organism reproductive process	19/672	206/18870	1.4997157604993582e-4	0.0034617225442594413	0.0027243175925269385	ITGA2/SLC19A1/CORIN/TACR1/CNR1/HSPG2/TAC3/FOS/NPPA/ADRA2A/IGFBP7/TEAD4/ABCC8/EDN1/FOSB/CALCA/THBD/PNOC/PAPPA	19
GO:0034767	positive regulation of monoatomic ion transmembrane transport	16/672	158/18870	1.686291302428143e-4	0.003788352839505725	0.002981370157605369	LRRC55/DRD1/AKAP9/TRPC3/CXCL10/CFTR/NTSR1/STAC/DRD4/NPPA/OPRK1/P2RX7/CXCL11/EDN1/NHERF1/JPH2	16
GO:0048532	anatomical structure arrangement	5/672	16/18870	1.7772970675775806e-4	0.0038589258248088567	0.0030369099135968756	KCNA2/KIF14/HOXB2/TFAP2A/HOXB1	5
GO:0070371	ERK1 and ERK2 cascade	26/672	336/18870	1.8760254376627472e-4	0.004054773161857437	0.0031910384836799366	MYC/GBP1/BMP2/FGFR2/PDGFRA/GPNMB/PDGFRB/TNFRSF11A/BMP4/ACTA2/RASGRP1/CCN1/NOX4/LMO3/FN1/OPRM1/TIMP3/ALOX15/EDN1/NHERF1/CTSH/MT3/DAB2/CD4/CD74/HTR2C	26
GO:0048483	autonomic nervous system development	8/672	46/18870	1.9539269499387104e-4	0.004195246999655822	0.0033015890384141787	PHOX2B/GATA3/KIF26A/HOXB2/TFAP2B/TFAP2A/HOXB1/FN1	8
GO:0033674	positive regulation of kinase activity	26/672	337/18870	1.9662239054093808e-4	0.004195246999655822	0.0033015890384141787	DDR2/FGFR2/PDGFRA/PDGFRB/TNFRSF11A/CCDC88A/EGR1/KIF14/CENPE/MET/RASGRP1/DRD4/AGT/ADRA2A/CCN1/NOX4/CLSPN/EDN1/ANG/MAP3K5/TGFBR2/TPD52L1/MT3/CD4/CALCA/CD74	26
GO:0035988	chondrocyte proliferation	6/672	25/18870	1.9784062257128672e-4	0.004195246999655822	0.0033015890384141787	DDR2/SIX2/MMP14/CCN3/LEF1/FOSL2	6
GO:0030239	myofibril assembly	10/672	71/18870	1.993955461455764e-4	0.004195246999655822	0.0033015890384141787	PDGFRA/PDGFRB/LMOD1/KRT19/NRAP/ACTC1/TPM1/EDN1/KRT8/MYL9	10
GO:0061614	miRNA transcription	10/672	71/18870	1.993955461455764e-4	0.004195246999655822	0.0033015890384141787	MYC/KLF4/BMP2/GATA2/GATA3/MYOCD/EGR1/BMP4/FOS/SMAD6	10
GO:0001764	neuron migration	17/672	177/18870	2.0317024783306564e-4	0.00425583492707589	0.0033492707212916684	DRD1/GATA2/PHOX2B/GATA3/KIAA0319/KIF20B/NDNF/DCDC2/MAP1B/KIF26A/NIPBL/EMX2/EOMES/CNTN2/TLX3/ASPM/ARX	17
GO:0048738	cardiac muscle tissue development	21/672	247/18870	2.1587511660400594e-4	0.004502132366017755	0.003543102675564364	NOG/PRICKLE1/BMP2/FGFR2/PDGFRA/PDGFRB/SOX6/MYOCD/KCNK2/MSX1/BMP4/GREM1/NPPA/NRAP/NOX4/ACTC1/TPM1/EDN1/JPH2/DSP/WNT3A	21
GO:0032608	interferon-beta production	9/672	59/18870	2.2301861571704436e-4	0.004610667468411069	0.0036285179811171293	OAS1/OAS2/ISG15/IFIH1/OAS3/POLR3G/TRIM38/TRIM56/NMI	9
GO:0033687	osteoblast proliferation	7/672	36/18870	2.3862163100247594e-4	0.004848913912037492	0.00381601393708413	EIF2AK2/BMP2/FGFR2/GREM1/NELL1/CCN1/TMEM119	7
GO:0045665	negative regulation of neuron differentiation	10/672	73/18870	2.517371110350299e-4	0.0050294536259309535	0.00395809566443844	HOXA2/PHOX2B/B2M/LMX1A/OLIG2/CNTN2/TLX3/ASPM/WNT3A/DLX1	10
GO:0045089	positive regulation of innate immune response	26/672	343/18870	2.5928977530018316e-4	0.005137178673134879	0.004042873470141014	OASL/OAS1/DDX60/RSAD2/EIF2AK2/COLEC12/PLSCR1/IFIH1/OAS3/DHX58/RBM47/POLR3G/PARP9/HLA-F/RASGRP1/NFKBIZ/RNF125/TRIM56/GBP2/PIK3AP1/IFI35/IFI16/SMPDL3B/NLRC5/CYBA/NMI	26
GO:0044706	multi-multicellular organism process	19/672	216/18870	2.763910744050078e-4	0.005430741978495091	0.004273902868681178	ITGA2/SLC19A1/CORIN/TACR1/CNR1/HSPG2/TAC3/FOS/NPPA/ADRA2A/IGFBP7/TEAD4/ABCC8/EDN1/FOSB/CALCA/THBD/PNOC/PAPPA	19
GO:0003253	cardiac neural crest cell migration involved in outflow tract morphogenesis	4/672	10/18870	2.81974649687133e-4	0.0054503636555378755	0.004289344799476928	BMP4/SEMA3C/FOLR1/EDN1	4
GO:0002833	positive regulation of response to biotic stimulus	27/672	369/18870	3.4902682810863825e-4	0.006496383081882306	0.005112544547255874	OASL/OAS1/DDX60/RSAD2/EIF2AK2/COLEC12/PLSCR1/IFIH1/OAS3/DHX58/RBM47/POLR3G/PARP9/HLA-F/RASGRP1/NFKBIZ/RNF125/EMILIN2/TRIM56/GBP2/PIK3AP1/IFI35/IFI16/SMPDL3B/NLRC5/CYBA/NMI	27
GO:0016331	morphogenesis of embryonic epithelium	15/672	152/18870	3.531507437420232e-4	0.0065339758229312084	0.005142129404066732	NOG/PRICKLE1/SULF1/FGFR2/GATA3/KIF20B/WNT2B/COBL/PCDH8/BMP4/RDH10/GREM1/LHX2/TFAP2A/FOLR1	15
GO:0001662	behavioral fear response	7/672	39/18870	4.008002624070058e-4	0.007246407786103849	0.005702801412274987	DRD1/DRD4/NEUROD2/NPAS2/PENK/HTR2C/GRPR	7
